,parameter,count,doi
275,before housing costs (bhc),1,'10.1016/j.erss.2017.09.035'
276,after housing costs,1,'10.1016/j.erss.2017.09.035'
277,property size,1,'10.1016/j.erss.2017.09.035'
278,fuel mix,1,'10.1016/j.erss.2017.09.035'
279,national income threshold,1,'10.1016/j.erss.2017.09.035'
280,fuel cost threshold,1,'10.1016/j.erss.2017.09.035'
281,age-adjusted premature mortality,1,'10.3390/ijerph18020620'
282,self-reported health,1,'10.3390/ijerph18020620'
283,social capital,1,'10.3390/ijerph18020620'
284,environmental quality,1,'10.3390/ijerph18020620'
285,energy poverty,1,'10.3390/ijerph18020620'
286,public health,1,'10.3390/ijerph18020620'
287,air pollution exposure,1,'10.3390/ijerph18020620'
288,pm2.5 or particulate matter,1,'10.3390/ijerph18020620'
289,risk of mortality from the effects of poor environmental quality,1,'10.3390/ijerph18020620'
290, income inequality,1,'10.3390/ijerph18020620'
291,inadequate housing,1,'10.3390/ijerph18020620'
292,overcrowded housing,1,'10.3390/ijerph18020620'
293,housing without kitchen or plumbing,1,'10.3390/ijerph18020620'
294,number of associations per capita,1,'10.3390/ijerph18020620'
295,voter turnout,1,'10.3390/ijerph18020620'
296,non-profit organisations without international focus,1,'10.3390/ijerph18020620'
297,percent of non-hispanic back,1,'10.3390/ijerph18020620'
298,healthy food access,1,'10.3390/ijerph18020620'
299,access to physicians,1,'10.3390/ijerph18020620'
300,fuel expenditures,1,'10.3390/ijerph18020620'
301,area median income (ami),1,'10.3390/ijerph18020620'
302,distribution of burdens,1,'10.3390/ijerph18020620'
303, percentage of low- to medium income households,1,'10.3390/ijerph18020620'
304,less than high school education,1,'10.1016/j.ref.2022.02.002'
305,low-income,1,'10.1016/j.ref.2022.02.002'
306,minority,1,'10.1016/j.ref.2022.02.002'
307,air toxics cancer risk,1,'10.1016/j.ref.2022.02.002'
308,air toxics respiratory hazard index,1,'10.1016/j.ref.2022.02.002'
309,diesel particulate matter (pm),1,'10.1016/j.ref.2022.02.002'
310,pm2.5 concentration,1,'10.1016/j.ref.2022.02.002'
311,ozone concentration,1,'10.1016/j.ref.2022.02.002'
312,traffic proximity and volume,1,'10.1016/j.ref.2022.02.002'
313,lead paint indicator,1,'10.1016/j.ref.2022.02.002'
314,proximity to risk management plan facilities,1,'10.1016/j.ref.2022.02.002'
315,proximity to treatment/storage/disposal facilities,1,'10.1016/j.ref.2022.02.002'
316,proximity to national priorities list sites,1,'10.1016/j.ref.2022.02.002'
317,wastewater discharge indicator,1,'10.1016/j.ref.2022.02.002'
